لری, فارسی
اَر نَه گزير بو هيشَكه رَه و رِنگگ ني بَره , اگر از روي ناچارينبود هيچ كس راهي رنگك نمي شد
اَر بِرَي من آسمون بالون بِسازي, اگر  به آسمان بروي  و هواپيما بسازي 
تييَلم من تييَلِت اي­كنه بازي, چشمم در چشم تو بازي مي كند
ار خرم اومَه سَر خَرمَنِت خالی وَر گَردَنِش, اگر خرم سر خرمن تو آمد آن را خالی برگردان
اَر نَخرديم نونِ گندم دیدیم منِ دَهسِ مَردم, اگرنان گندم نخورده ايم ولي آن را در دست مردم ديده ايم
اگر و مگر ايگُم و نيگُم كُهرل , اگر و مگر، مي گويم و نمي گويم پسرها 
اَرتِ  خارِ كنگري مُ خارِ زولم  , اگر تو خار كنگر هستي من خار زول هستم
اَر كَه نين خته كهدون اين خِتِه , اگر كاه مال خودت نيست كاهدان مال خودت است
اَر خو ديدي خير بو  , اگر خواب ديدي خير باشد
اّر چي بكن بيدي سي خِش اي­كِه , اگر كاركن بود براي خودش كار مي كرد
اَر گپ نزني آبروت سر جاشه , اگر سخن نگويي آبروي سر جایش است
اَر دندون كرمونه نكشي باقي دندونله كرمواي­كنه, اگر دندان كرم خورده را نكشي بقيه­ي دندان ها را خراب مي كند
اَر بوشَه نيده بي ايگُ مُ كِرِ خانلي خانم, اگر پدرش را نديده بود مي­گفت من پسر خان علي خان هستم
اَر گَلَش بِمیزه تِنه او ای بَرِه , اگر گله اش بشاشد آب تو را می برد
ار نَمیرُم نَپیرُم, اگر نمیرم پیر نیستم
اَر شریک خوب بی خدا سی خُش شریک ای جُس, اگر شریک خوب بود خدا برای خودش شریک پیدا می کرد
ار بیضا نَه حاضرِه نُه خر حاضرِه , اگر بیضا حاضر نیست نه خر حاضر است
اگر اطلس کنی خارا بپوشی, اگر پارچه­ی اطلس و بافته­ی ابریشمی بپوشی 
 همو کنگر کن ریچال فروشی , همان کنگر ریچال فروش هستی
اَر جومَم دِهرسِه  اصلم نپِهرسِه, اگر پیراهنم پاره است ولی اصل و نسب من از بین نرفته است
اَر خَلَقی دَراری پُل او دَهسِ رویَه, اگر رسوایی به بار بیاری پل آن طرف رودخانه است
اَر مِردی یِه گو یِه هم میدون , اگر مرد هستی این گوی این هم میدان
اَر دنیا نَه وَش بدی ناراضیه , اگر دنیا را به او بدهی ناراضی است
اَر ریت نیس آربیز جلوریت بگر , اگر خجالت می­کشی الک جلوی صورتت بگیر
ار بوتِرز ایشنفی خَر داغ اِی­کِنن , اگر بوی سوختن مو می شنوی خر داغ می­کنند
ار بوترِز اییا خر داغ اِی­کِنن  , اگر بوی سوختن مو می آید خر داغ می­کنند
اَر بَرد صیا کِه وُهم صیا ای­کنه, اگر سنگ صدا کرد او هم صدا می کند
اگرَه کِشتن سوزا نبی , اگر را کاشتند سبز نشد
اَر تیش دَهسَه مِن نُفت کنی همی عالم اِی­فهمه , اگر کنارش  دست در بینی کنی همه­ی مردم می­فهمند
اَر ایشنفی یَه بَردی بِنِه سَر حَدش, اگر می شنوی یک سنگی سر مرزش بگذار
اَر ومُ اِی­شنفی یَه بَردی بِنِه سر حَدش , اگر از من می شنوی یک سنگی سر مرزش بگذار
اَر گردو وَ بارِت نی سی چِه رِک رِک اِی­کنی, اگر گردو بارت نیست چرا صدا می دهی
اَر هَوَسه هم یِه بَسِه, اگر هوس است همین بس است
آسیوش خوب ای یَهره, آسیابش خوب آرد می کند
آسیوش دِپون ای یَهره ,  آسیابش پی درپی آرد می کند
ای حونَه مَهلی ای یَرزه , این خانه خیلی ارزش دارد
اُرمونت مِن دلم , آرزويت در دلم
گَلَنَه و اَرِن بردِن , گله را به محل نمک دادن بردند
گَلَنَه اَرِن دادن , گله را نمک دادند
اَز پر ای کارَ بکنین , از دم این کار را بکنید
اسپی­نَه نهل ای­کِردن, اسبی را نعل می کردند 
 پهشه کورک هم پاشَه  راس ای­کِه , پشه کوره ای نیز پایش را بلند می کرد 
ای­گُ بِزَه ای چُ, می گفت این جا بزن
اسپ پیش کشينه دندونشَه نی­شمارِن  , اسب پیش­کش را دندانش را نمی شمارند
وَ شرق آوُو مغرب بُ, از مشرق آورد و به مغرب برد
اشکفت سِه   , غار سیاه
اِشکفتِ تنگِ تاریک پِرش موری سرباریکه, غار تنگ سیاه که پر از مورچه­های سر باریک است
اَصل دار خطا نی­کنه    , انسان اصالت دار خطا نمی کند
بی اصل وفا نی­کنه , بی اصل وفا نمی کند
وَوُ اَعتبه گِرُ ای کارَه نکنه , از او تعهد گرفت که دیگر این کار را نکند
آدم بدی­یه وش اعراض ای­کنم,  انسان بدی است از او دوری می­کنم
اَفتو و کو لَت درومه که یاد ما کِردی , آفتاب از کدام طرف درآمد که یاد ما کردی
اقبالم خوسیده , اقبالم خوابیده است
اقبالم سِه­یَه , بختم سیاه است
اگر سر پاتیل وازه حیی گربه و کوچو رهته, اگر سر دیگ باز است حیای گربه کجا رفته است
امروصباکهِ, امروز و فردا کرد
انگ اِی­گره  , ایراد می گیرد  
اِنگار پی موری سُهر خَردِه, مثل اینکه پای مورچه­ی سرخ خورده است
اینگاری خُل مِنریش بِهتنه, مثل اینکه خاک بر چهره اش الک کرده­اند
اینگاری جهید­ی یهکه خرش سقط کرده, مثل یهودیی است که خرش سقط کرده است
اینگاری نهانِشه مِن جَوِن کووَنانشه, مثل اینکه او را در هاون گذاشته و کوبیده­اند
او کِه وَ سَر گدشت  چِه یَه کَله چه صَد کلَه  , آب که از سر گذشت چه یک کله چه صد کله
گُردَنَه نی خُ اودون ای خُ , قلوه­را نمی­خواهد مثانه­را می خواهد
 تی سُ اوخَش و گلیم نرهته وزیر, تا حالا آب خوش از گلویم پایین نرفته است
تی سُ اوخَش وَبتم نَرهته دومن, تا حالا آب خوش از گلویم پایین نرفته است
تا او حاضِره تیموم باطله, تا آب حاضر است تیمم باطل است
اووَ او تکون نَخَه , آب از آب تکان نخورد
او نی بینه اَندی شناگر قابلی یه, آب نمی­بیند وگرنه شناگر شایسته ای است
او نی اندی شناگر قابلی یه, آب وجود ندارد وگرنه شناگر شایسته ای است
او مِنگِلیش پیدا یَه, آب در گلویش پیدا  است
او وادار نداره  , آب را نمی تواند نگه دارد
آب را نمی تواند نگه دارد, آب این جا به او نساخته است
او نَخَردَشَه بده و تو, آب نخورده اش را به تو بدهد
او وَ سَرو شِلُویَه, آب از سرچشمه گل آلود است
او مِنِش نی, آب در آن نیست
اوشون وَ یَه جو نی­رَه , آبشان از یک جو نمی گذرد
اویی که یه جا وی سِه گندی بو  , آبی که یک جا بماند گندیده می شود
او توله نَخَرده, آب توله نخورده
او وَ دهسش تپ نی­کنه, آب از دستش نمی چکد
او بَلَد نی  , آب بلد نیست
او ای­بریزه , آب برشته می­کند
اووَ سَراو شِلو­یه, آب از سرچشمه گل آلود است
اودهسشه نخردم, آب دستش را نخوردم
کاری اِی­کِنُم که او سرش ناپیدا بو, کاری می کنم که آن سرش ناپیدا باشد
اوچه خَشه که دِل خَشه, آن جا خوش است که دل خوش باشد
اوسُ کهِ همنه بی تِنَه نبی ای­سُ خُ دَهیشکنه نی, آن زمان که همه را بود تو را نبود حالا که هیچ کس را نیست
اوسر ای رسمونه بگِر, آن طرف این ریسمان را بگیر
راحت وابیدُم , راحت شدم
هم کاره وابيده , عادت کرده
اوکتِ جومنه بگِه , آن طرف پیراهن را بگیر
اوله ایگُ کور ای­کنم سهرو ایگُ من گور ای­کنم, آبله می گویدکور می­کنم سرخک می­گوید در گور می کنم
داشتم ای­خوسیدُم , داشتم می­خوابیدم.
ای­خمِت نه بهزَه خُم, تو را می­خواهم نه بهتر از خودم
ای­گُم نرِه ای­گِ بدوشِش, می­گویم نر است،می­گوید بدوشش
ای­طوری ورومده , این­گونه بار آمده است
ای تشی که بُر کردی اَول دیدِش مِن تیی خِت ای­ره, این آتشی که روشن کردی اول دودش در چشم خودت می رود
ای سِه بِنِش پَر شالت, حالا آن را در لبه شالت بگذار
ای مَزاری که تو سَرشی گریوی خالیَه, این قبری که تو بر روی آن گریه می­کنی خالی است
ای گَپ سی تو نون و او وانی بو , این سخن برای تو نان و آب نمی¬شود. 
ار ای شیری که مالَه زَمِه مالَه بِگِره مَهلی ماسِه , اگر این شیری را که مایه زده­ام بگیرد، خیلی ماست است
ای سگ بَی سُوار , ای سگ همراه سوار
ایل وَباره , ایل در حال کوچ است
ای مِجال و کوچو­ای­رَی, این موقع کجا می­روی
ایمونش صد ره ای ره, ایمانش به صد راه می­رود
ایمون مؤمن صد ره ­ای­ره, ایمان مؤمن به صد راه می­رود
سی چه اومی , برای چه آمدی
اهتقات و کی داری, به کی اعتقاد  داری
با وُ رَه  , همراه او رفت
بی مُو ای یا   , با من می­آید
بی یَه دَهس نی شَوِه دِ چینَه ورداری , با یک دست نمی­شود دو چیز را برداری
بی­مُو حَرف­ای­زنی, با من حرف می زنی
وَهدَه دا ولی نومَه, وعده داد ولی نیامد
بی مُو گَپ زد , با من حرف زد
یَه کیلو کُنجی با یَه مَن چلتیک اِهسَدُم, یک کیلو کنجد به علاوه­ی یک من چلتوک خریدم
بی پوز تِفنگ گپ ای زنِه, با دهانه­ی تفنگ سخن می­گوید
بی هَر سازی ای رَخصِه, با هر سازی می­رقصد
بَی نُفتِه خُش و قهرِه , با بینی خودش قهر است
بی حرف خَش مار و چالِش ای یار وَدَر , با سخن خوش مار از سوراخش بیرون می­آيد
بی دُمبِش گردو ای شکَنِه , با دمش گردو می­شکند
بابِ دندونِشهِ , مناسب دندانش است
ای لِباس بابِشِه  , این لباس مناسبش است
این کِلَه باب سَرِشِه, این کلاه مناسب سرش است
باد مِن دِلشِه  , باد در شکمش است
باد مِن روهیشه  , باد در روده­اش است
باد من کِمشِه, باد در شکم دارد
باد ای یوشنش , باد تکانش می­دهد
هِفَش کِنی باد ای بَرش, فوتش کنی باد او را می­برد
خَرمَنَه باد ای زن, خرمن را باد می­زدند
خَرمنَه وَ باد ایده  , خرمن را باد می­دهد
برد ای­کِنه وَ بارِش  , سنگ بارش می­کند
هر کَه بارِش و بارِخشِه, هرکه بارش بار خودش است
بار بَهسَن , بار را بستن
بار خَل و مَنزل نی رَسِه , بار کج به منزل نمی­رسد
بارتَه وَش بِیَر  , بارت را به وسیله­ی او آرد کن
بارتَه بارکِردی دَ چِتِه , بارت را بار کردی دیگر چه می­خواهی
 دَر قافله بی خَر دَر آسیو  بی بار, در قافله بدون خر است و در آسیا بدون بار.  
یَه بارَه ای کارَه بکُ , یک باره این کار را انجام بده
یه بارَکی ای کارَه بکُ, یک باره این کار را بکن
یه بارکنی ای کاره بکُ , یک باره این کار را بکن
سَرِش باربیره  , سرش آشفته است
آدَمِ بار بیری یَه  , دم آشفته ای است
چه باسُم کردن, چه بایست بکنم
باغبون وَختِ ثمر گوشش کَرِه , باغبان هنگام ثمر گوشش کر است
باقِلش وَ گله, باقلای او گل کرده
باقِلُه پُهته  , باقلای پخته
باقِلُه کِشتمِه پیلَه کِرده, باقلا کاشته­ام پیله کرده است
پیره مِرد خَردشِه توپَه کردِه, پیرمرد آن را خورده باد کرده است
وي دار بِرَه وَ بالا , از اين درخت برو بالا
وي كُه بِرَه و بالا  , از اين كوه برو بالا 
بچه و گیرومه  , بچه به دنیا آمد
بچه بچیی گپ ای زنِه , مانند بچه حرف می­زند
بچه تا نگریوِه پِسون و دِهونِش نی نِن , بچه تا گریه نکند پستان در دهانش نمی­گذارند
زهلی بَچَنَه ای­بَره , بچه را می­ترسانند
بخت ري وَش كردِه, بخت به او روی كرده است
بخت وَش وَرگشته  , بخت  به او پشت كرده است
بهتون وَم زَه, به من بهتان زد
بد کار بد گمونه , بد کار بد گمان است 
تیَشَه بُر کِه ُ, چشمش را باز کرد
تیَش بِروابی   , چشمش باز شد
فلانی­تِيَش­بر­ابی, فلانی چشمش باز شد
چِراغَه بِر ای¬کنِه , چراغ را روشن می کند
تش برازه  , آتش روشن کردن
بی­کارِه صُب تا پَسین بَربیق ای زَنِه, بی کار است صبح تا عصر پرسه می­زند
اُمرو چندم بُرجِه, امروز چندم ماه است
بُرج دَ بار ای­کنیم  , ماه دیگر کوچ می­کنیم
بَرد سر بَرد نی­نِن, سنگ روی سنگ نمی­گذارند
دُز گاشَه بُ, دزد گاوش را دزدید
برف وَ نِهنگی قُرب نَداره, برفی که نزدیک باشد ارزش ندارد 
کِشتَه کو بَرکت دارِه , اين زراعت برکت دارد
بُرگِش من یک ره , ابروهایش درهم رفت
وَبُرگ هِشاره کِه , با ابرو اشاره­ کرد
سر بُرم ای رو ویسادِه, بر لبه­ی این رود ایستاده است
بُرم ای دره خطر داره , لبه­ی این دره خطرناک است
بِرو بیا دارِه  , رفت و آمد دارد
اي بَند بِرَه بِرَه وابي, اين ريسمان بریده بریده شد
ماس بِرَه بِرَه وابي, ماست بريده بريده شد
دو بِرَه بِرَه وابي , دوغ بريده بريده و فاسد شد
شير بِرَه بِرَه وابي, شير بريده بريده شد
کار اُمرو بَسِه  , کار امروز کافی است
کَسِینه بسی کِه  , کسی را فرستاد
قاصدینَه بِسی کُ   , قاصدی را فرستاد
بَچنَه وَ بِغَل کِه, بچه را بغل کرد
یَه بِغَل علف , یک بغل علف
پارچه ای بَفم  , پارچه­می­بافم
بُق کِه  , بغض کرد
بِقاده ای کارَه بکُ   , با قاعده این کار را بکن
بقیی پیله بده  , بقیه­ی پول را بده
دهسُم شَلِه بقیش کُ, دستم زخم است آن را بخیه کن
وَ اندازی خُت  بل کُ , به اندازه­ی خودت بپر
درد و بَلات وابو مِن سرم, درد و بلای تو به سرم بخورد
بنا کِه وَ حَرف زدن, شروع کرد به حرف زدن
سبیلش و بناگوشش رسیده, سبیلش به بنا گوشش رسیده است
بندیرش ویسام  , منتظرش ماندم.
تا مالَه مِن اي واره هَرَه مِن اي داره, تا خانه در اين منزل­گاه است ارّه در اين درخت است
بو داره  , پدر درا است
بورَكي كِردُم , بسيار گرسنه شدم
بَهر ککی نَخرو سی بِخَرو, سهم برادریکه نمی­خورد برای برادری که می­خورد
اَز بَس کار کِردم بُهرسُم , از بس کار کردم بریدم 
مِهمونَه بَهرقَه کِه , مهمان را بدرقه کرد
بِهسِش وَجونش , او را به جانش انداخت
بَردَ وَش بِهس  , سنگ را به طرفش انداخت
بِهسش مِن دَهسِندازی, او را در دست­اندازی انداخت
بَهلِشته بنه زِر سرت, متکا را زیر سرت بگذار
بی رو درواسی, بدون رو دربایستی
بی مِزو بی ماجب , بی­مزد و مواجب
بی گِدار وَ او زَدَن, بی گدرا به آب زدن
بی خَر در قافله بی بار در آسیو, بدون خر در قافله و بدون بار در آسیاب
بی حرف خَش ایشوِه کهنَه جاوجا کنی, با حرف خودش می­توان کوه را جابه جا کرد
مَهلي بيغاري اي­كِنه ولي وجَي ني­رسه , خيلي زحمت مي­كشد ولي به جايي نمي­رسد
اِن بيگار كِردم وخَرجش نَره , هر كاري كردم به خرجش نرفت
هر بيگار كِردُم قبول نكِه , هراندازه كوشيدم قبول نكرد
پاپوش سیش دِرُس کِه , برایش پاپوش درست کرد
کارِش پاپیچش وابی, کارش پاپیچش شد
پات سرتیم, پایت روی چشمم
پاش بُهرس, پایش را بريد
پاش تَرَکهِس, پایش ترکید
پاش سر پوس پیازِه , پايش روی پوست پياز است
پاش گورو زدِه , پایش تاول زده است
پاش لَه وابیدِه , پایش له شده است
پاش وَخورهته , پایش خواب رفته است
پاش ورپی­تِهسِه, پایش پیچ خورده است
پاشه کِه من گیوی مِردی, پایش را در کفش مردی کرده است
پاشَه واپس کشی  , پایش را پس کشید
پا واپس کشی, پا پس کشید
بچی خوبی وَش پا گِرُه , بچه خوبی از آن پا گرفت
حَقِش پامال وابی, حقش پا مال شد
پا جی پی کسی نهادن ,  پا جای پای کسی گذاشتن
وپابوس کسی رهتن, به پابوس کسی رفتن
پا و دندون گرهتن , پا را به دندان گرفتن
پا من پا کردن , پا در پا کردن
پا من پاش که زش و گل , پا را در پای او کرد ، و او را بر زمین زد 
نه ای میری نه ای کِشِنت نه ای دی طلاقم, نه مي­میری نه تو را می­کشند و نه مرا طلاق می­دهی
پارتی سُ, پارسال تا کنون
سگ پارس اي كِنه  , سگ پارس می کند
پاشنه وركشيدن  , پاشنه بر کشیدن 
پاك خِشَه باخت  , كاملاً خودش را باخت
پاكي يه دنگ وَ بهشته, پاك بودن يك دانگ از بهشت است
مِن اي كار پخته وابي, در این کار پخته شد
اي حرفه بين مردم پخش كُ , این حرف بین مردم پخش کن
اي گندمَه سر زمين پخش كُ, اين گندم را روي زمين پخش كن
آدم پخمي­يه  , آدم  عقب افتاده­اي است
وِ نَه زير پر و بالش گِرُه , آن را زیر پرو بالش گرفت
يَه نون وَم بِده, بک نان به من بده
كوگه كونه پر بده , این كبك را پرواز بده
پَر و بال وش دا  , پر و بال به او داد
بُهزل پراهِسن , بزها فرار كردند
حَرف پرت اي­زنه  , حرف پرت می زند
يه پرچ آرد بده  , كمي آرد بده
يه پرچ نوني وَم بده , کمی نان به من بده
يه پرسي وش اي­كنم, يك سؤالي از او مي­كنم
خدانَه بپرسن, خدا را پرستش كن
پرسه اي زنه, پرسه می زند
پرنده اي­خي گُوَر گاميش , پرنده می­خواهی گوساله گاوميش
تُهمونشه پرو ای­كنه, تنبانش را وصله می­زند
جیجِی بنگشته­كو پروکه, جوجه­ی این گنجشک پرواز کرد
جیجه پرو وابی  , جوجه آماده­ی پرواز شد
وی کار پروا نداره, از این کار پروایی ندارد. 
پزِ عالی جیبِ خالی  , پز عالی جیب خالی
پس گوش انداختن  , پشت گوش انداختن
غوری کو اِشکهس , قوری شکست 
آدم پَستي­يه  , آدم پستی است
پسندري وِنَه گِرُه, او را از پشت سر گرفت
پسندري وَش حَملَه كِه , از پشت سر به او حمله كرد
غوري پشك وابي , قوري خرد شد
تزبه پَره وابي , تسبيح پاره شد 
گله پِشك و پِرَه وابي, گله پخش و پراكنده شد
پشيمون نومَه, پشيمان نامه
مهلي اي­خري اي­پكي, خيلي مي­خوري مي­تركي
زَمينَه­كو پل پلينه  , اين زمين ناهموار است
يه پلي من گردنشِه, يك برجستگي در گردنش وجود دارد
تو بيو تي مو بشين, بيا پهلوی من بنشين
 خراكي نيخم , خوراكي نمي­خو
مِن خو پلا پلا اي­كنه, در خواب پرت و پلا مي­گويد
اي­كنه ني فهمم چه اي گُ, ‌نمي­فهمم چه مي­گويد
حيون پل واري  , حيوان پرواري
پنا ای­بریم وَ خدا  , به خدا پناه می­بریم
پنشتا پنجه مث یَک وانی­بون, پنج انگشت مانند هم نمی­شوند
پندگرهته, عذا گرفته است
پاش پندوم کِرده  , پاش ورم كرده است
صورتش پندوم ای­کنه , صورتش ورم می­کند
پِهشَه وخُش مالیده, پیه آن را به خود مالیده است
پهنَه دان و دَهسِه گلو , پیه را به دست گربه دادند
پَه سی چه رهتی  , پس چرا رفتی
سوار خَوَر و پیاد نداره, سوار از پیاده خبر ندارد
پیچ بدی من ره ­يه  , پیچ بعدی در راه است
پیت مِنش افتادِه  , تابی در آن افتاده است
پیدا وابی  , پیدا شد
اونگل پیر مرید یکن, آن­ها پیر و مرید هم هستند
پیشونیش مهر گرهته, پیشانی او مهر گرفته است
پیشونیش بلنده , پیشانیش بلند است
پیشونیش وَش اومدِه , پیشانی او به او آمده است
ای گردو پیکه  , : این گردو پوک است
کلش پیکه , کله اش پوک است
حرفش پیکه , حرفش پوک است
حرفلش پیکه  , حرفهایش پوک است
پیل دهسی  , پول دستی
پیلَه بنی سر برد بردَه او ای­کِنه ,  پول را روی سنگ بگذاری سنگ را آب می­کند
پیلتَه بنِه من او گود , پولت را در میدان بگذار 
ترمه گز کُ , پارچه­ی ترمه متر کن
ای آدم بد پیمونه, این آدم بد پیمان است
زونیش پینه بَهسه , زانوی او پینه دار شده است
دار کونَه پیوند زَه, درخت را پیوند زد
هره مِن ای دارِه , ارّه در این درخت است
تا ابله در جهونِه مفلس در نی­مونه , تا ابله در جهان است مفلس در نمی­ماند
تا ای کاره بکنه که وکَهی ره دونه و دون, تا این کار را بکند کاه کاه می­شود، دانه دانه می­گردد. 
تا دل نسوسِه خرس وَ تیه نی درا, تا دل نسوزد اشك از چشم جاري نمي­شود
تا زِر نفت خِشه اي­بينه, تا زير بيني خودش را مي­بيند
تا جونَه هِه اِميدَم هِه , تا جان را هست اميدم هم هست
تا سير نخرده بي بوسير وَ دِهونت ني يا, اگر سير نخورده باشي بوي سير از دهانت نمي­آيد
تا گهتن حلوا دهون آدم شِرين واني بو , همينكه گفتند حلوا دهان آدمی شيرين نمي­شود
تا بد نکنی بد ني­بینی, تا بد نکنی بد نمی­بینی
تا یَه گولی نَخَری یَه فَندی یاد نی گری, تا فریبی نخوری مکری یاد نمی­گیری
تا سَرُم زنده­یَه ری وَریت نی­کنم, تا سرم زنده است روبه روی تو نمی کنم
تا نکالی نی ورداری, تا نکاری برداشت نمی­کنی
تا سَرته نتراشُم , تا را سرت را نتراشم
تا سَرتَه نَرَنُم  , تا سرت رنده نکنم
تا حرف خش ویساده حرف بد نزه , تا سخن خوب مانده است حرف بد نگو. 
صُب تا شوم کار ای­کِنم , از صبح تا شب کار می­کنم
تا ساهت بَعد وی چِنُم , تا ساعت بعد اين­جا هستم
وي چو تا زمينل بالا پياده رهتم , از اين­جا تا زمين هاي بالايي پياده رفتم
مَه تاجیکی, . مگر تاجیک هستی
تاخچه بالا نها  , : طاقچه بالا گذاشت
شو تاریک ای رم وَ کُه, در شب سیاه به کوه می­روم
تِیَم تار ایبينه  , چشمم تار می­بیند
شو که وابی و تاریکیش نترس, شب که شد از تاریکی آن مترس
من تاریکی بشین روشنی نه بپا , در تاریکی بنشین و مواظب روشنایی باش
دِ تا میش  , دو رأس گوسفند
بزه­کو تاک اومه , : بز تنها آمد
یه گی تاکینه دیدم, گاو تنهایی را دیدم
تغديرم بد بي , سرنوشتم بد بود
تف من كارت بيا  ,  تف به عمل و كارت باشد
تفكش من بتش خشك وابي ,  آب دهانش در گلويش خشك شد
تفكه وش بهس , به او تف انداخت.
اي اتفاق سي همه پيش اي يا , اين اتفاق براي همه پيش مي‌آيد
تقاصشَه پس دا , انتقامش را پس داد
تا تقاصشَه نگرم ول ني­كنم, تا انتقامش نگيرم را ول نمي‌كنم
يه گي تك داره  , يك گاو تنها دارد
پاش درد اي­كه , پايش درد مي‌كرد 
و بهلشت تِکی دا , به پالش تکیه داد
تگرس اومه  , تگرگ بارید
تِلش اومده جلو  , شکمش جلو آمده است. 
رَهته سر تل, بالای تپه رفته است
دِلش تمنا اي­كنه  , دل او آرزو مي‌كند
خدا نصيب هيچ تنا بندي نكنه, خدا قسمت هيچ بنده‌اي نكند
تند اومَه  , تند آمد
سَرزيري  تندي بي , سرازيري شيب داري بود
غذي تندي بي  , غذاي تندي بود
تند وره اي­ره , تند راه مي‌رود
لباسش تنگه , لباسش تنگ است
تنگري وَش انداخت, سنگ ريزه‌اي به طرف او پرت كرد
تا نشكفه بَن و بلي كس ني گُ بهاره, تا بنه و بلوط شكوفه نكند كسي نمي‌گويد بهار است
دور خونشه سیم ای تنه , دور خانه اش را سیم می تند 
يه توال آدم  , يك دسته آدم
يه توال شكال , يك دسته شكار 
يه توال ميش و بز , يك دسته گوسفند و بز
تودين اومَدِن, پشت سرهم آمدند
تودين بچه اي ياره  , پشت سر هم بچه به دنيا مي‌آورد
توهين وَش كِه  , : به او توهين كرد.
توفيق نداره , توفیق ندارد
مِن اي مامله تون دادم  , در اين معامله تاوان دادم
تَوَهُد دا اي كارَه نكنه, تعهد دادكه اين كار را انجام ندهد
خَرمَنه ته رف كِه  , خرمن را از ته رفت
پتوكونه ته اي­كنه  , پتو را تا مي‌كند
اي پارچنَه چارته كُ  , اين پارچه را چهار تا كن
تش وَش رسي  , آتش به او رسيد
وش تهريف كِه  , از او تعريف كرد
خوشَه سيم تهريف كِه, خوابش را براي من تعریف كرد
وَ يَه تهله خواري اي كارَه كِردُم , با رنج  اين كار را انجام دادم
تهلِه مث زهر , تلخ است مانند زهر
تهمت زَه , تهمت زد
وش تهمت زَه , به او تهمت زد
تهمين داشتن, امنيت داشتن
تهمين ني كنم  , اطمينان نمي‌كنم
تهنا و قاضي رَه  , تنها به قاضي رفت
تهليمم دا  , به من ياد داد
تهليمش دام  , به او ياد دادم.
تي سُ نيدِمته  , تا حالا تو را نديده ام
تي خِشي گُ, پيش خود گفت
و تي پا زَش  , با تي پا او را زد
اي چقو تيزه  , اين چاقو تيز است
تيشه و ريشي خش زه , تيشه به ريشه‌ي خودش زد
